book_order,book,chapter,verse,reference,syriac
1,Nisibis,1,1,Nisibis 1:1,ܐܰܠܳܗ ܪ̈ܰܚܡܶܐ ܕܰܐܢܺܝܚܬ ܠܢܽܘܚ ܐܰܢܺܝܚ ܗ̱ܘܳܐ ܐܳܦ ܗ̱ܽܘ ܠܪ̈ܰܚܡܰܝܟ ܩ̇ܪܶܒ ܕܶܒ̈ܚܶܐ ܟܽܠܼܳܐ ܡܳܡܽܘܠܳܐ ܝܰܗ̱ܒ ܩܽܘܪ̈ܒܳܢܶܐ ܢܣܼܰܒ ܫܽܘܘܕܳܝܳܐ ܒܰܨܠܽܘܬܳܐ ܘܥܶܛܪܳܐ ܪܶܥܝܳܟ ܒܡܽܘ̈ܡܳܬܳܐ ܘܩܶܫܬܳܐ ܚܰܢܬܳܝܗ̱ܝ ܘܰܐܝܟܳܐ ܕܣܳܥܶܐ ܡܳܡܽܘܠܳܐ ܕܢܶܟܝܶܗ ܠܰܐܪܥܳܐ ܩܶܫܬܳܐ ܠܩܽܘܒܠܶܗ ܡܶܬܡܰܬܚܳܐ ܕܠܶܗ ܬܶܪܕܽܘܦ ܘܠܰܐܪܥܳܐ ܬܠܰܒܶܒ ܕܡܽܘܡ̈ܳܬܳܟ ܬܶܛܰܪ ܫܰܝܢܳܐ ܘܩܶܫܬܳܟ ܬܩܰܪܶܒ ܥܰܡ ܪܽܘܓܙܳܐ
1,Nisibis,1,2,Nisibis 1:2,ܓܰܠܝܳܐܺܝܬ ܡܳܪܝ̱ ܐܶܬܪܰܥܰܡ ܕܰܕܡܳܐ ܡܚܺܝܠܳܐ ܕܪܰܣܶܣ ܢܽܘܚ ܟܽܠܼܳܐ ܪܽܘܓܙܳܐ ܒܟܽܠ ܕܳܪ ܡܶܢ ܟܽܠ ܟܡܳܐ ܟܺܝܬ ܚܰܝܠܬܳܢ ܕܡܶܗ ܕܺܝܚܺܝܕܳܟ ܕܢܶܟܠܳܐ ܪܣܶܣܶܗ ܡܳܡܽܘܠܰܢ ܕܗܳܐ ܒܪܳܙܶܗ ܗܽܘ ܩܢܰܘ ܚܰܝܠܳܐ ܕܶܒܚ̈ܶܐ ܡܚ̈ܺܝܠܶܐ ܕܩܳܪܶܒ ܢܽܘܚ ܘܟܽܠܳܐ ܪܽܘܓܙܳܐ ܒܩܽܘܪܒܳܢ ܡܰܕܒܰܚܝ̱ ܐܶܬܪܰܥܳܐ ܘܰܟܠܼܺܝ ܡܶܢܝ̱ ܡܳܡܽܘܠ ܚ̈ܰܝܶܐ ܘܢܶܢܛܪܽܘܢ ܙܰܘܓܳܐ ܕܢܺܝܫ̈ܰܝܟ ܠܺܝ ܨܠܺܝܒܳܟ ܘܰܠܢܽܘܚ ܩܶܫܬܳܟ ܨܠܺܝܒܳܟ ܢܶܬܪܽܘܥ [ܝܰܡܳܐ] ܕܡ̈ܰܝܳܐ ܩܶܫܬܳܟ ܬܶܟܠܶܐ ܡܳܡܽܘܠ ܡܶܛܪܳܐ
1,Nisibis,1,3,Nisibis 1:3,ܗܳܐ ܫܰܓܫܽܘܢܝ̱ ܟܽܠ ܡܰܚܫܽܘ̈ܠܺܝܢ ܘܝܶܗܒܰܬ ܛܽܘܒܳܐ ܠܟܽܘܝܳܠܳܐ ܕܠܳܗ̇ ܓ̈ܶܠܠܶܐ ܗܰܘ ܒܰܠܚܽܘܕ ܟܰܪܟܽܘܗ̇ ܬ̈ܶܠܳܠܶܐ ܘܓܶܐܪ̈ܶܐ ܘܓ̈ܶܠܠܶܐ ܟܰܪܟܽܘܢܝ̱ ܗܳܝ ܗܼܘܳܬ ܠܳܟ ܣܺܝܡܰܬ ܓ̈ܰܙܶܐ ܘܶܐ̱ܢܳܐ ܗ̇ܘܺܝܬ ܣܺܝܡܰܬ ܚܰܘ̈ܒܶܐ ܗܳܝ ܒܚܽܘܒܳܟ ܕܳܫܶܬ ܓ̈ܶܠܠܶܐ ܘܶܐ̱ܢܳܐ ܒܪܽܘܓܙܳܟ ܐܶܬܥܰܘܪܶܬ ܒܰܝܢܳܬ ܓܶܐܪ̈ܶܐ ܪܺܝܚܳܗ̇ ܡܳܠܐܳܐ ܫܰܓܫܰܢܝ̱ ܢܰܗܪܳܐ ܡܶܠܚܳܗ̇ ܕܗܳܝ ܟܽܘܝܳܠܳܐ ܗܘܺܝ ܣܦܰܢܝ̱ ܒܓܰܘ ܝܰܒܫܳܐ ܠܗܳܝ ܐܰܢܺܝܚܬ ܒܰܠܡܺܐܢ ܛܽܘܪܳܐ ܘܠܺܝ ܐܰܢܺܝܚ ܒܰܠܡܺܐܢ ܫܽܘܪ̈ܰܝ
1,Nisibis,1,4,Nisibis 1:4,ܙܰܕܺܝܩܳܐ ܪܕܳܢܝ̱ ܠܺܝ ܒܫ̈ܶܦܥܶܐ ܘܰܠܗܳܝ ܚܰܒܶܒ ܒܰܝܢܳܬ ܓ̈ܶܠܠܶܐ ܕܰܙܟܼܳܐ ܢܽܘܚ ܓ̈ܶܠܠܶܐ ܕܪܶܓܬܳܐ ܕܰܚܢܰܩܘ̱ ܗ̱ܘܰܘ ܒܕܳܪܶܗ ܠܰܒ̈ܢܰܝ ܫܺܝܬ ܕܰܡܪܰܕ ܒܶܣܪܶܗ ܥܰܠ ܒ̈ܢܳܬ ܩܳܐܶܝܢ ܟܒܰܫ ܪܟܽܘܒܶܗ ܚܰܨܳܐ ܕܓ̈ܶܠܠܶܐ ܕܠܳܐ ܛܰܡܐܳܝܗ̱ܝ ܢܺܫ̈ܶܐ ܩܰܕܶܫ ܗܰܘ ܠܚܰܝ̈ܘܳܬܳܐ ܕܒܳܗ̇ ܒܟܽܘܝܳܠܳܐ ܟܽܠ ܙܰܘ̈ܓܺܝܢ ܡܙܰܘܓܳܐ ܩܰܕܶܫ ܙܽܘܘܳܓܳܐ ܙܰܝܬܳܐ ܕܡܶܫܚܶܗ ܡܰܦܨܰܚ ܐܰܦ̈ܶܐ ܒܛܰܪܦܶܗ ܐܰܦܨܰܚ ܦܰܪ̈ܨܽܘܦܰܝܗܽܘܢ ܠܺܝ ܢܰܗܪܳܐ ܕܡܶܪܘܰܙ ܫܶܩܝܶܗ ܗܳܐ ܡܳܪܝ̱ ܡܰܟܡܰܪ ܠܺܝ ܡܳܡܽܘܠܶܗ
1,Nisibis,1,5,Nisibis 1:5,ܛܦܳܠܳܐ ܕܚܰܘ̈ܒܰܝ ܚܙܳܬ ܟܺܐܢܽܘܬܳ[ܟ ܘܢܳܕ] ܡܶܢܝ̱ ܥܰܝ̈ܢܰܝܟ ܕܰܟܝ̈ܳܬܳܐ ܟܰܢܶܫܬ ܡܰܝ̈ܳܐ ܒܝܰܕ ܛܰܡܐܳܐ ܕܠܺܝ ܕܺܝܠܝ̱ ܬܶܥܒܶܕ ܕܽܘܟܝ̱ ܚܰܘ̈ܒܶܐ ܠܰܘ ܕܗܽܘܢ ܬܰܥܡܶܕ ܬܕܰܟܶܝܢܝ̱ ܐܶܠܳܐ ܕܰܒܗܽܘܢ ܬܶܕܚܰܠ ܬܶܪܕܶܝܢܝ̱ ܕܓ̈ܶܠܠܶܐ ܢܥܺܝܪܽܘܢ ܠܰܨܠܽܘܬܳܐ ܕܰܬܫܺܝܓ ܚܰܘ̈ܒܰܝ ܚܙܳܬܗܽܘܢ ܕܡܰܠܝܳܐ ܬܝܳܒܽܘܬܳܐ ܗܘܳܬ ܠܳܗ̇ ܠܺܝ ܡܰܥܡܽܘܕܺܝܬܳܐ ܝܰܡܳܐ ܡܳܪܝ̱ ܕܰܗܘܼܳܐ ܠܰܚܢܽܘܩܳܢܝ ܢܚܰܢܩܽܘܢ ܒܶܗ ܪ̈ܰܚܡܶܐ ܠܚ̈ܰܘܒܶܐ ܒܝܰܡܳܐ ܕܣܽܘܦ ܚܶܢܩܰܬ ܦܰܓܪ̈ܶܐ ܒܗܳܢܳܐ ܚܢܽܘܩ ܚܰܘܒ̈ܶܐ ܚܠܳܦ ܦܰܓܪ̈ܶܐ
1,Nisibis,1,6,Nisibis 1:6,ܟܽܘܝܳܠܳܐ ܒܪ̈ܰܚܡܶܐ ܬܰܩܶܢܬ ܕܬܶܛܰܪ ܒܳܗ̇ ܟܽܠ ܫܰܪ̈ܟܳܢܺܝܢ ܕܠܳܐ ܬܓܰܙܶܐ ܐܰܪܥܳܐ ܒܪܽܘܓܙܳܐ ܥܒܼܰܕ ܚܢܳܢܳܟ ܐܰܪܥܳܐ ܕܩܰܝܣܳܐ ܣܰܦܶܩܬ ܐܶܢܶܝܢ ܚܕܳܐ ܒܰܚܕܳܐ ܦܰܢܺܝܬ ܐܶܢܶܝܢ ܚܕܳܐ ܠܰܚܕܳܐ ܐܰܪ̈ܥܳܬܝ̱ ܕܺܝܠܝ̱ ܬܠܳܬ ܙܰܒ̈ܢܺܝܢ ܡܠܺܝ ܘܶܐܣܬܰܦܰܩ ܘܗܳܫܳܐ ܥܰܠܝ̱ ܣܳܥܶܝܢ ܓ̈ܶܠܠܶܐ ܕܢܶܥܛܽܘܢ ܣܪܺܝܕܳܐ ܕܰܦܠܼܰܛ ܒܺܝ ܒܟܽܘܝܳܠܳܐ ܢܳܛܪܰܬ ܫܰܪܟܳܢܳܐ ܛܰܪ ܒܺܝ ܡܳܪܝ̱ ܐܳܦ ܒܺܝ ܚܡܺܝܪܳܐ ܟܽܘܝܳܠܳܐ ܒܛܽܘܪܳܐ ܝܶܠܕܶܬ ܒܰܐܪ̈ܥܳܬܝ̱ ܐܳܠܶܕ ܐ̱ܢܳܐ ܠܰܚ̈ܒܺܝܫܰܝ
1,Nisibis,1,7,Nisibis 1:7,ܡܳܪܝ̱ ܚܳܕܶܐ ܒܺܝ ܚܒܺܝ̈ܫܰܝ ܚܶܣܢ̈ܶܐ ܕܠܰܚܒܺܝ̈ܫܶܐ ܒܙܰܝܬܳܐ ܚܕܺܝܬ ܫܶܕܪܰܬ ܐܳܣܝܳܐ ܒܝܰܕ ܝܰܘܢܳܐ ܠܢܰܣܺܝ̈ܣܶܐ ܕܶܐܫܬܰܢܰܩܘ̱ ܒܟܽܠ ܓܰܠܠܺܝ̈ܢ ܥܰܠ ܘܰܪܕܰܦ ܟܽܠ ܟܺܐܒܰܝ̈ܗܽܘܢ ܕܚܰܕܽܘܬܶܗ ܒܶܠܥܰܬ ܟܰܪܝܽܘܬܳܐ ܘܛܳܠܶܩ ܐܶܒܠܳܐ ܒܒܽܘܝܳܐܶܗ ܘܰܐܝܟ ܪܰܒ ܚܰܝܠܳܐ ܝܰܗ̱ܒ ܠܽܘܒܳܒܳܐ ܠܰܪ̈ܗܺܝܒܶܐ ܙܪܰܥ ܨܰܘܬܳܐ ܒܶܝܬ ܨ̈ܰܕܳܝܶܐ ܛܥܶܡ ܥܰܝ̈ܢܶܐ ܚܙܳܬܳܐ ܕܫܰܝܢܳܐ ܘܣܰܪܗܶܒ ܦܬܰܚ ܦܽܘܡܳܐ ܠܫܽܘܒܚܳܟ ܐܰܝܟ ܙܰܝܬܳܐ ܒ̈ܓܶܠܠܶܐ ܛܰܪܰܝܢܝ̱ ܕܬܶܚܕܶܐ ܒܺܝ ܚܒܺܝ̈ܫܰܝ ܚܶܣ̈ܢܶܐ
1,Nisibis,1,8,Nisibis 1:8,ܣܼܥܳܐ ܡܳܠܐܳܐ ܘܶܐܬܛܰܪܝ̱ ܒܫܽܘܪܳܢ ܢܶܐܚܕܺܝܘܗ̱ܝ ܚܰܝܠܳܐ ܣܳܡܶܟ ܟܽܠ ܠܳܐ ܢܶܦܶܠ ܐܰܝܟ ܒܢܰܝܢ ܚܶܠܳܐ ܕܠܳܐ ܒܢܺܝܬ ܝܽܘܠܦܳܢܝ̱ ܥܰܠ ܚܶܠܳܐ ܫܽܘܥܳܐ ܢܗܶܐ ܠܺܝ ܫܶܬܶܐܣ̈ܶܐ ܕܥܰܠ ܫܽܘܥܳܟ ܒܢܺܝܬ ܗܰܝܡܳܢܽܘܬܝ̱ ܫܶܬܶܐܣܬܳܐ ܟܣܺܝܬܳܐ ܕܬܽܘܟܠܳܢܝ̱ ܬܶܛܥܶܝܢ ܫܽܘܪ̈ܰܝ ܢܦܰܠܘ̱ ܓܶܝܪ ܫܽܘܪ̈ܶܝܗ̇ ܕܺܐܝܪܺܝܚܽܘ ܕܥܰܠ ܚܶܠܳܐ ܒܢܳܬ ܬܽܘܟܠܳܢܳܗ̇ ܒܼܢܳܐ ܡܽܘܫܶܐ ܫܽܘܪܳܐ ܒܝܰܡܳܐ ܕܥܰܠ ܫܽܘܥܳܐ ܒܢܼܳܐ ܪܶܥܝܳܢܶܗ ܫܶܬܶܐܣܬܶܗ ܕܢܽܘܚ ܥܰܠ ܫܽܘܥܳܐ ܡܕܺܝܪ̈ܶܐ ܕܩܰܝܣܳܐ ܒܡ̈ܰܝܳܐ ܛܶܥܢܰܬ
1,Nisibis,1,9,Nisibis 1:9,ܦܳܚܶܡ ܢܰܦܫ̈ܳܬܳܐ ܕܰܒܓܰܘܝ̱ ܠܚܰܝ̈ܘܳܬܳܐ ܕܰܒܟܽܘܝܳܠܳܐ ܘܰܚܠܳܦ ܢܽܘܚ ܕܰܐܒܺܝܠ ܘܡܰܡܟܳܟ ܚܳܠ ܢܶܫ̈ܶܐ ܕܶܐܬܩܰܕܰܫ ܒܳܗ̇ ܗܳܐ ܒܬܽܘ̈ܠܳܬܝ̱ ܕܠܳܐ ܐܶܙܕܰܘܰܓ ܚܠܳܦ ܚܳܡ ܕܰܢܦܰܩ ܗ̱ܘܳܐ ܦܰܪܣܺܝ ܨܰܥܪܳܐ ܕܰܐܒܽܘܗ̱ܝ ܗܳܐ ܥܳܒܽܘܕ̈ܶܐ ܕܙܶܕܩ̈ܳܬܳܐ ܕܢܰܟܶܦܘ̱ ܘܰܐܠܒܶܫܘ̱ ܠܰܫ̈ܠܺܝܚܶܐ ܒܟܺܐܒ̈ܰܝ ܐܶܫܬܰܢܺܝܬ ܡܰܠܠܶܬ ܡܳܪܝ̱ ܠܳܐ ܬܶܥܕܽܘܠ ܕܰܐܪܓܙ ܡ̈ܶܠܰܝ ܠܟܰܫܺܝܪ̈ܶܐ ܕܪܰܛܶܢܘ̱ ܫܰܬܶܩܬ ܚܽܘܢܰܝܢܝ̱ ܠܺܝ ܐܰܝܟ ܠܰܐ̱ܚܪ̈ܳܝܶܐ ܕܫܳܠܶܝܢ ܗ̱ܘܰܘ
1,Nisibis,1,10,Nisibis 1:10,ܩܕܳܡ ܪܽܘܓܙܳܐ ܥܒܕܰܬ ܒܶܝܬ ܓܰܘܣܳܐ ܘܡܰܪܕܽܘ ܗܘܰܘ ܒܶܗ ܟܽܠ ܛܽܘܗ̈ܡܺܝܢ ܪܽܘܚ ܗ̱ܘܳܐ ܢܽܘܚ ܒܶܝܬ ܢܰܘܚܳܐ ܕܰܢܢܺܝܚ ܡܰܫܪܶܝܗ ܐܰܝܟ ܟܽܘܢܳܝܶܗ ܐܰܚܶܕܬ ܬܰܪ̈ܥܶܐ ܕܬܶܛܰܪ ܟܺܐܢܳܐ ܦܬܰܚܬ ܢܶܣ̈ܟܶܐ ܕܬܰܣܺܝܦ ܛܰܡ̈ܐܶܐ ܩܳܡ ܗ̱ܘܳܐ ܢܽܘܚ ܒܰܝܢܳܬ ܓ̈ܶܠܠܶܐ ܕܚܺܝ̈ܠܶܐ ܕܡܶܢ ܒܰܪ ܠܦܽܘ̈ܡܶܐ ܚ̈ܒܳܠܶܐ ܕܡܶܢ ܓܰܘ ܙܰܝܚܽܘܗ̱ܝ ܓ̈ܶܠܠܶܐ ܫܰܓܫܽܘܗ̱ܝ ܦܽܘܡ̈ܶܐ ܫܰܝܶܢܬ ܥܰܡܶܗ ܓܰܘ̈ܳܝܶܐ ܫܰܦܶܠܬ ܩܽܘܕܡܰܘܗ̱ܝ ܒܰܪ̈ܳܝܶܐ ܫܰܚܠܶܦܬ ܒܰܥܓܰܠ ܥܰܣܩ̈ܳܬܳܐ ܕܕܰܠܺܝ̈ܠܳܢ ܠܳܟ ܡܳܪܝ̱ ܥ̈ܛܳܠܳܬܳܐ
