book_order,book,chapter,verse,reference,syriac
1,Genesis,1,1,Genesis 1:1,ܒܪܫܝܬ ܒܪܐ ܐܠܗܐ. ܝܬ ܫܡܝܐ ܘܝܬ ܐܪܥܐ.
1,Genesis,1,2,Genesis 1:2,ܐܪܥܐ ܗܘܬ ܬܘܗ ܘܒܘܗ̇. ܘܚܫܘܟܐ ܥܠ ܐ̈ܦܝ ܬܗܘܡܐ. ܘܪܘܚܗ ܕܐܠܗܐ ܡܪܚܦܐ ܥܠ ܐ̈ܦܝ ܡ̈ܝܐ.
1,Genesis,1,3,Genesis 1:3,ܘܐܡ̣ܪ ܐܠܗܐ ܢܗܘܐ ܢܘܗܪܐ. ܘܗܘ̣ܐ ܢܘܗܪܐ.
1,Genesis,1,4,Genesis 1:4,ܘܚ̣ܙܐ ܐܠܗܐ ܠܢܘܗܪܐ ܕܫܦܝܪ. ܘܦ̣ܪܫ ܐܠܗܐ ܒܝܬ ܢܘܗܪܐ ܠܚܫܘܟܐ.
1,Genesis,1,5,Genesis 1:5,ܘܩ̣ܪܐ ܐܠܗܐ ܠܢܘܗܪܐ ܐܝܡܡܐ. ܘܠܚܫܘܟܐ ܩ̣ܪܐ ܠܠܝܐ. ܘܗܘ̣ܐ ܪܡܫܐ ܘܗܘܐ ܨܦܪܐ ܝܘܡܐ ܚܕ.
1,Genesis,1,6,Genesis 1:6,ܘܐܡ̣ܪ ܐܠܗܐ ܢܗܘܐ ܐܪܩܝܥܐ ܒܡܨܥܬ ܡ̈ܝܐ. ܘܢܗܘܐ ܦܪܫ̇ ܒܝܬ ܡ̈ܝܐ ܠܡ̈ܝܐ.
1,Genesis,1,7,Genesis 1:7,ܘܥܒ̣ܕ ܐܠܗܐ ܐܪܩܝܥܐ. ܘܦ̣ܪܫ ܒܝܬ ܡ̈ܝܐ ܕܠܬܚܬ ܡܢ ܐܪܩܝܥܐ. ܘܒܝܬ ܡ̈ܝܐ ܕܠܥܠ ܡܢ ܐܪܩܝܥܐ. ܘܗܘ̣ܐ ܗܟܢܐ.
1,Genesis,1,8,Genesis 1:8,ܘܩ̣ܪܐ ܐܠܗܐ ܠܐܪܩܝܥܐ ܫܡܝܐ. ܘܗܘ̣ܐ ܪܡܫܐ ܘܗܘܐ ܨܦܪܐ ܝܘܡܐ ܕܬܪ̈ܝܢ.
1,Genesis,1,9,Genesis 1:9,ܘܐܡ̣ܪ ܐܠܗܐ ܢܬܟܢܫܘܢ ܡ̈ܝܐ ܕܠܬܚܬ ܡܢ ܫܡܝܐ ܠܐܬܪܐ ܚܕ ܘܬܬܚܙܐ ܝܒܝܫܬܐ. ܘܗܘ̣ܐ ܗܟܢܐ.
1,Genesis,1,10,Genesis 1:10,ܘܩ̣ܪܐ ܐܠܗܐ ܠܝܒܝܫܬܐ ܐܪܥܐ. ܘܠܟܢܫܐ ܕܡ̈ܝܐ ܩ̣ܪܐ ܝܡ̈ܡܐ. ܘܚ̣ܙܐ ܐܠܗܐ ܕܫܦܝܪ.
1,Genesis,1,11,Genesis 1:11,ܘܐܡ̣ܪ ܐܠܗܐ ܬܦܩ ܐܪܥܐ ܬܕܐܐ ܥܣܒܐ ܕܡܙܕܪܥ ܙܪܥܐ ܠܓܢܣܗ. ܘܐܝܠܢܐ ܕܦܐܪ̈ܐ ܕܥܒ̇ܕ ܦܐܪ̈ܐ ܠܓܢܣܗ ܕܢܨܒܬܗ ܒܗ ܥܠ ܐܪܥܐ. ܘܗ̣ܘܐ ܗܟܢܐ.
1,Genesis,1,12,Genesis 1:12,ܘܐܦ̣ܩܬ ܐܪܥܐ ܬܕܐܐ. ܥܣܒܐ ܕܡܙܕܪܥ ܙܪܥܐ ܠܓܢܣܗ. ܘܐܝܠܢܐ ܕܥܒ̇ܕ ܦܐܪ̈ܐ ܕܢܨܒܬܗ ܒܗ ܠܓܢܣܗ. ܘܚ̣ܙܐ ܐܠܗܐ ܕܫܦܝܪ.
1,Genesis,1,13,Genesis 1:13,ܘܗܘ̣ܐ ܪܡܫܐ ܘܗܘ̣ܐ ܨܦܪܐ. ܝܘܡܐ ܕܬܠܬܐ.
1,Genesis,1,14,Genesis 1:14,ܘܐܡ̣ܪ ܐܠܗܐ. ܢܗܘܘܢ ܢܗܝܪ̈ܐ ܒܐܪܩܝܥܐ ܕܫܡܝܐ. ܠܡܦܪܫ ܒܝܬ ܐܝܡܡܐ ܠܠܠܝܐ . ܘܢܗܘܘܢ ܠܐܬ̈ܘܬܐ ܘܠܙܒ̈ܢܐ. ܘܠܝ̈ܘܡܬܐ ܘܠܫ̈ܢܝܐ.
1,Genesis,1,15,Genesis 1:15,ܘܢܗܘܘܢ ܡܢܗܪ̈ܝܢ ܒܐܪܩܝܥܐ ܕܫܡܝܐ ܠܡܢܗܪܘ ܥܠ ܐܪܥܐ. ܘܗܘ̣ܐ ܗܟܢܐ.
1,Genesis,1,16,Genesis 1:16,ܘܥܒ̣ܕ ܐܠܗܐ ܬܪ̈ܝܢ ܢܗܝܪ̈ܐ ܪ̈ܘܪܒܐ. ܢܗܝܪܐ ܪܒܐ ܠܫܘܠܛܢܐ ܕܐܝܡܡܐ. ܘܢܗܝܪܐ ܙܥܘܪܐ ܠܫܘܠܛܢܐ ܕܠܠܝܐ ܘܟܘܟ̈ܒܐ.
1,Genesis,1,17,Genesis 1:17,ܘܝܗ̣ܒ ܐܢܘܢ ܐܠܗܐ ܒܐܪܩܝܥܐ ܕܫܡܝܐ. ܠܡܢܗܪܘ ܥܠ ܐܪܥܐ.
1,Genesis,1,18,Genesis 1:18,ܘܠܡܫܠܛ ܒܐܝܡܡܐ ܘܒܠܠܝܐ. ܘܠܡܦܪܫ ܒܝܬ ܢܘܗܪܐ ܠܚܫܘܟܐ. ܘܚ̣ܙܐ ܐܠܗܐ ܕܫܦܝܪ.
1,Genesis,1,19,Genesis 1:19,ܘܗܘ̣ܐ ܪܡܫܐ ܘܗܘ̣ܐ ܨܦܪܐ ܝܘܡܐ ܕܐܪ̈ܒܥܐ.
1,Genesis,1,20,Genesis 1:20,ܘܐܡ̣ܪ ܐܠܗܐ. ܢܪܚܫܘܢ ܡ̈ܝܐ ܪܚܫܐ ܢܦܫܐ ܚܝܬܐ. ܘܦܪܚܬܐ ܬܦܪܚ ܥܠ ܐܪܥܐ ܥܠ ܐ̈ܦܝ ܐܪܩܝܥܐ ܕܫܡܝܐ.
1,Genesis,1,21,Genesis 1:21,ܘܒܪ̣ܐ ܐܠܗܐ ܬܢܝ̈ܢܐ ܪ̈ܘܪܒܐ. ܘܟܠ ܢܦܫܐ ܚܝܬܐ ܕܪܚܫܐ ܕܐܪܚܫܘ ܡ̈ܝܐ ܠܓܢܣܗܘܢ. ܘܟܠ ܦܪܚܬܐ ܕܓܦܐ ܠܓܢܣܗ̇. ܘܚ̣ܙܐ ܐܠܗܐ ܕܫܦܝܪ.
1,Genesis,1,22,Genesis 1:22,ܘܒ̇ܪܟ ܐܢܘܢ ܐܠܗܐ. ܘܐܡ̣ܪ ܠܗܘܢ ܦܪܘ ܘܣܓܘ ܘܡ̣ܠܘ ܡ̈ܝܐ ܕܒܝܡ̈ܡܐ. ܘܦܪܚܬܐ ܬܣܓܐ ܒܐܪܥܐ.
