book_order,book,chapter,verse,reference,syriac
1,Joshua,1,1,Joshua 1:1,והוה בתר דמית משה עבדא דיי ואמר יי ליהושע בר נון משמשוניה דמשה למימר:
1,Joshua,1,2,Joshua 1:2,משה עבדי מית וכען קום עיבר ית ירדנא הדין את וכל עמא הדין לארעא דאנא יהיב להון לבני ישראל:
1,Joshua,1,3,Joshua 1:3,כל אתרא דתדרך פרסת רגלכון ביה לכון יהבתה כמא דמלילית עם משה:
1,Joshua,1,4,Joshua 1:4,ממדברא ולבנונא הדין ועד נהרא רבא נהרא דפרת כל ארע חתאי ועד ימא רבא מעלני שמשא יהא תחומכון:
1,Joshua,1,5,Joshua 1:5,לא יתעתד אנש קדמך כל יומי חייך כמא דהוא מימרי בסעדיה דמשה כן אהוי עמך לא אשבקינך ולא ארחקינך:
1,Joshua,1,6,Joshua 1:6,תקיף ועלם ארי את תחסין ית עמא הדין ית ארעא דקיימית לאבהתהון למתן להון:
1,Joshua,1,7,Joshua 1:7,לחוד תקיף ועלם לחדא למטר למעבד ככל אוריתא דפקדך משה עבדי לא תסטי מיניה לימינא ולשמאלא בדיל דתצלח בכל אתר דתהך:
1,Joshua,1,8,Joshua 1:8,לא יעדי סיפרא דאוריתא הדין מפומך ותהי הגי ביה יימם וליליא בדיל דתטר למעבד ככל דכתיב ביה ארי בכן תצלח ית דרכך ובכן תכשט:
1,Joshua,1,9,Joshua 1:9,הלא פקידתך תקף ועלם לא תדחל ולא תתבר ארי בסעדך מימרא דיי אלהך בכל אתר דתהך:
1,Joshua,1,10,Joshua 1:10,ופקיד יהושע ית סרכי עמא למימר:
1,Joshua,1,11,Joshua 1:11,עברו בגו משריתא ופקידו ית עמא למימר אתקינו לכון זודין ארי בסוף תלתא יומין אתון עברין ית ירדנא הדין למיעל למירת ית ארעא דיי אלהכון יהיב לכון למירתה:
1,Joshua,1,12,Joshua 1:12,ולשבט ראובן ולשבט גד ולפלגות שבטא דמנשה אמר יהושע למימר:
1,Joshua,1,13,Joshua 1:13,הוו דכירין ית פתגמא דפקיד יתכון משה עבדא דיי למימר יי אלהכון מניח לכון ויהב לכון ית ארעא הדא:
1,Joshua,1,14,Joshua 1:14,נשיכון טפליכון ובעירכון יתבון בארעא דיהב לכון משה בעברא דירדנא ואתון תעברון מזרזין קדם אחוכון כל גברי חילא ותסעדון יתהון:
1,Joshua,1,15,Joshua 1:15,עד דיניח יי לאחוכון כותכון ויירתון אף אינון ית ארעא דיי אלהכון יהיב לכון ותתובון לארע ירותתכון ותירתון יתה דיהב לכון משה עבדא דיי בעברא דירדנא מדנח שמשא:
1,Joshua,1,16,Joshua 1:16,ואתיבו ית יהושע למימר כל דפקדתנא נעבד ולכל אתר דתשלחננא נהך:
1,Joshua,1,17,Joshua 1:17,ככל דקבלנא מן משה כן נקבל מנך לחוד יהי מימרא דיי אלהך בסעדך כמא דהוה בסעדיה דמשה:
1,Joshua,1,18,Joshua 1:18,כל גבר דיסרב על מימרך ולא יקבל ית פתגמך לכל דתפקדניה יתקטיל לחוד תקף ועלם:
1,Joshua,2,1,Joshua 2:1,ושלח יהושע בר נון מן שטין תרין גוברין מאללין ברז למימר אזילו חזו ית ארעא וית יריחו ואזלו ועלו לבית אתתא פונדקיתא ושמה רחב ושכיבו תמן:
1,Joshua,2,2,Joshua 2:2,ואתאמר למלכא דיריחו למימר הא גובריא אתו הכא בליליא מבני ישראל לאללא ית ארעא:
1,Joshua,2,3,Joshua 2:3,ושלח מלכא דיריחו לות רחב למימר אפיקי גבריא דאתו לותיך דעלו לביתיך ארי לאללא ית כל ארעא אתו:
1,Joshua,2,4,Joshua 2:4,ודבירת אתתא ית תרין גבריא ואטמרתנון ואמרת בקושטא אתו לותי גבריא ולא ידעית אי מנן אינון:
1,Joshua,2,5,Joshua 2:5,והוה עדן למיחד תרעא בקבלה וגבריא נפקו לא ידעית לאן אזלו גבריא רדפו בפריע בתריהון ארי תדבקונון:
1,Joshua,2,6,Joshua 2:6,והיא אסקתנון לאגרא ואטמרתנון בטעוני כתנא דסדירין לה על אגרא:
1,Joshua,2,7,Joshua 2:7,וגבריא רדפו בתריהון אורח ירדנא עד מגזתא ותרעא אחדו בתר דנפקו רדפיא בתריהון:
1,Joshua,2,8,Joshua 2:8,ואינון עד לא שכיבו והיא סליקת לותהון לאגרא:
1,Joshua,2,9,Joshua 2:9,ואמרת לגבריא ידענא ארי יהב יי לכון ית ארעא וארי נפלת אמתכון עלנא וארי אתברו כל יתבי ארעא מן קדמיכון:
