book_order,book,chapter,verse,reference,syriac
1,Genesis,1,1,Genesis 1:1,בקדמין ברא יי ית שמיא וית ארעא:
1,Genesis,1,2,Genesis 1:2,וארעא הות צדיא וריקניא וחשוכא פרש על אפי תהומא ורוחא מן קדם יי מנשבא על אפי מיא:
1,Genesis,1,3,Genesis 1:3,ואמר יי יהי נהורא והוה נהורא:
1,Genesis,1,4,Genesis 1:4,וחזא יי ית נהורא ארי טב ואפרש יי בין נהורא ובין חשוכא:
1,Genesis,1,5,Genesis 1:5,וקרא יי לנהורא יממא ולחשוכא קרא ליליא והוה רמש והוה צפר יומא חד:
1,Genesis,1,6,Genesis 1:6,ואמר יי יהי רקיעא במציעות מיא ויהי מפריש בין מיא למיא:
1,Genesis,1,7,Genesis 1:7,ועבד יי ית רקיעא ואפריש בין מיא די מלרע לרקיעא ובין מיא די מעל לרקיעא והוה כן:
1,Genesis,1,8,Genesis 1:8,וקרא יי לרקיעא שמיא והוה רמש והוה צפר יום תנין:
1,Genesis,1,9,Genesis 1:9,ואמר יי יתכנשון מיא מתחות שמיא לאתר חד ותתחזי יבשתא והוה כן:
1,Genesis,1,10,Genesis 1:10,וקרא יי ליבשתא ארעא ולבית כנישות מיא קרא יממי וחזא יי ארי טב:
1,Genesis,1,11,Genesis 1:11,ואמר יי תדאית ארעא דיתאה עסבא דבר זרעה מזדרע אילן פירין עבד פירין לזנה די בר זרעה בה על ארעא והוה כן:
1,Genesis,1,12,Genesis 1:12,ואפקת ארעא דיתאה עסבא דבר זרעה מזדרע לזנוהי ואילן עבד פירין דבר זרעה בה לזנוהי וחזא יי ארי טב:
1,Genesis,1,13,Genesis 1:13,והוה רמש והוה צפר יום תליתאי:
1,Genesis,1,14,Genesis 1:14,ואמר יי יהון נהורין ברקיעא דשמיא לאפרשא בין יממא ובין ליליא ויהון לאתין ולזמנין ולמימני בהון יומין ושנין:
1,Genesis,1,15,Genesis 1:15,ויהון לנהורין ברקיעא דשמיא לאנהרא על ארעא והוה כן:
1,Genesis,1,16,Genesis 1:16,ועבד יי ית תרין נהוריא רברביא ית נהורא רבא למשלט ביממא וית נהורא זערא למשלט בליליא וית כוכביא:
1,Genesis,1,17,Genesis 1:17,ויהב יתהון יי ברקיעא דשמיא לאנהרא על ארעא:
1,Genesis,1,18,Genesis 1:18,ולמשלט ביממא ובליליא ולאפרשא בין נהורא ובין חשוכא וחזא יי ארי טב:
1,Genesis,1,19,Genesis 1:19,והוה רמש והוה צפר יום רביעאי:
1,Genesis,1,20,Genesis 1:20,ואמר יי ירחשון מיא רחש נפשא חיתא ועופא יפרח על ארעא על אפי רקיעא דשמיא:
1,Genesis,1,21,Genesis 1:21,וברא יי ית תניניא רברביא וית כל נפשא חיתא דרחשא די ארחישו מיא לזניהון וית כל עופא דפרח לזנוהי וחזא יי ארי טב:
1,Genesis,1,22,Genesis 1:22,ובריך יתהון יי למימר פושו וסגו ומלו ית מיא ביממיא ועופא יסגי בארעא:
1,Genesis,1,23,Genesis 1:23,והוה רמש והוה צפר יום חמישאי:
1,Genesis,1,24,Genesis 1:24,ואמר יי תפק ארעא נפשא חיתא לזנה בעיר ורחש וחות ארעא לזנה והוה כן:
1,Genesis,1,25,Genesis 1:25,ועבד יי ית חות ארעא לזנה וית בעירא לזנה וית כל רחשא דארעא לזנוהי וחזא יי ארי טב:
1,Genesis,1,26,Genesis 1:26,ואמר יי נעביד אינשא בצלמנא כדמותנא וישלטון בנוני ימא ובעופא דשמיא ובבעירא ובכל ארעא ובכל רחשא דרחש על ארעא:
1,Genesis,1,27,Genesis 1:27,וברא יי ית אדם בצלמה בצלמא דיי ברא יתה דכר ונוקבא ברא יתהון:
1,Genesis,1,28,Genesis 1:28,ובריך יתהון יי ואמר להון יי פושו וסגו ומלו ית ארעא ותקופו עלה ושלוטו בנוני ימא ובעופא דשמיא ובכל חיתא דרחשא על ארעא:
1,Genesis,1,29,Genesis 1:29,ואמר יי הא יהבית לכון ית כל עסבא דבר זרעה מזדרע די על אפי כל ארעא וית כל אילנא די בה פירי אילנא דבר זרעה מזדרע לכון יהא למיכל:
1,Genesis,1,30,Genesis 1:30,ולכל חות ארעא ולכל עופא דשמיא ולכל דרחש על ארעא די בה נפשא חיתא ית כל ירוק עסבא למיכל והוה כן:
1,Genesis,1,31,Genesis 1:31,וחזא יי ית כל די עבד והא תקין לחדא והוה רמש והוה צפר יום שתיתאי:
1,Genesis,2,1,Genesis 2:1,ואשתכללו שמיא וארעא וכל חיליהון:
1,Genesis,2,2,Genesis 2:2,ושיצי יי ביומא שביעאה עבדתה די עבד ונח ביומא שביעאה מכל עבדתה די עבד:
1,Genesis,2,3,Genesis 2:3,ובריך יי ית יומא שביעאה וקדיש יתה ארי בה נח מכל עבדתה די ברא יי למעבד:
1,Genesis,2,4,Genesis 2:4,אלין תולדת שמיא וארעא כד אתבריאו ביומא די עבד יי אלהים ארעא ושמיא:
1,Genesis,2,5,Genesis 2:5,וכל אילני חקלא עד לא הוו בארעא וכל עסבא דחקלא עד לא צמח ארי לא אחית מטרא יי אלהים על ארעא ואנש לית למפלח ית אדמתא:
1,Genesis,2,6,Genesis 2:6,ועננא הוה סליק מן ארעא ואשקי ית כל אפי אדמתא:
