book_order,book,chapter,verse,reference,syriac
13,1 Chronicles,1,1,1 Chronicles 1:1,אדם שת אנוש:
13,1 Chronicles,1,2,1 Chronicles 1:2,קינן מהללאל ירד:
13,1 Chronicles,1,3,1 Chronicles 1:3,חנוך מתושלח למך:
13,1 Chronicles,1,4,1 Chronicles 1:4,נח שם חם ויפת:
13,1 Chronicles,1,5,1 Chronicles 1:5,בנוי דיפת גמר ומגוג ומדי ויון ותובל ומשך ותירס ושום אפרכויתהון אפקיקי וגרמניא והמדאי ומוקדוניא ויתיניא ומוסיא ותרקי: :
13,1 Chronicles,1,6,1 Chronicles 1:6,ובנוי דגמר אשכנז ודיפת ותוגרמה ושום אפרכויתהון אסיא ופרסווי וברבריא:
13,1 Chronicles,1,7,1 Chronicles 1:7,ובנוי דמוקדון אלסו וטרסוס איטליון ודרדניא: :
13,1 Chronicles,1,8,1 Chronicles 1:8,ובנוי דחם ערב ומצריי ואלייחרק וכנען:
13,1 Chronicles,1,9,1 Chronicles 1:9,ובנוי דערב סינידאי והינדקאי וסמדאי ולובאי וזיננאי ובנוי דמוריאטינוס דמרגד ומזג:
13,1 Chronicles,1,10,1 Chronicles 1:10,וערב אוליד ית נמרוד הוא שרי למהוי גבר בחטאה שדי אדם זכאי ומרוד קדם יי:
13,1 Chronicles,1,11,1 Chronicles 1:11,ומצרים אוליד ית ניוטאי וית מריוטאי וית ליוקאי וית פנטסכינאי:
13,1 Chronicles,1,12,1 Chronicles 1:12,וית פנטפוליטאי וית ניסיוטאי דנפקו מנהון פלשתאי וית קפוטקאי:
13,1 Chronicles,1,13,1 Chronicles 1:13,וכנען אוליד ית בותניאס הוא דבנא ית צידון הוא בוכריה דכנען וית חת:
13,1 Chronicles,1,14,1 Chronicles 1:14,וית יבוסאי וית אמוראי וית גרגשאי:
13,1 Chronicles,1,15,1 Chronicles 1:15,וית חואי וית ערקאי וית אנתוסאי:
13,1 Chronicles,1,16,1 Chronicles 1:16,וית לוטסאי וית חומצי וית אנטיוכאי:
13,1 Chronicles,1,17,1 Chronicles 1:17,בנוי דשם עלמאי ואתוראי וארפסדאי ולודאי וארמאי וארמציאי וחולאי וגיתראי ומשכאי:
13,1 Chronicles,1,18,1 Chronicles 1:18,וארפסדאי אוליד ית שלח ושלח אוליד ית עבר:
13,1 Chronicles,1,19,1 Chronicles 1:19,ולעבר אתילידו תרין בנין שום חד פלג ארום ביומוי אתפליגו דירי ארעא ללשנהון ושום אחוי יקטן מטול דביומו שריאו שניהון דבני נשא לאתקטעא מן בגלל חוביהון:
13,1 Chronicles,1,20,1 Chronicles 1:20,ויקטן אוליד ית אלמודד דמשח ופלגות ארעא באושליא וית שלף דשלף ית נהרותא לתחומיא וית חצרמות דאתקין אתר כמניא לקטלא עדי ארחא וית ירח דאתקן פונדוקין והוה כל דעליל למיכל ולמישתי הוה מוכיל ליה סמא דקטול ונסיב כל מה דהוה בידוי:
13,1 Chronicles,1,21,1 Chronicles 1:21,וית הדורם וית אוזל וית דקלה:
13,1 Chronicles,1,22,1 Chronicles 1:22,וית עיבל וית אבימאל וית שבא:
13,1 Chronicles,1,23,1 Chronicles 1:23,וית אופיר אתר מפקנות דהבא וית חוילה אתר מפקנות מרגליתא וית יובב כל אלין בנוי דיקטן:
13,1 Chronicles,1,24,1 Chronicles 1:24,שם כהנה ארפסדיי שלח:
13,1 Chronicles,1,25,1 Chronicles 1:25,עבר פלג רעו:
13,1 Chronicles,1,26,1 Chronicles 1:26,שרוג נחור תרח:
13,1 Chronicles,1,27,1 Chronicles 1:27,אברם איהוא אברהם:
13,1 Chronicles,1,28,1 Chronicles 1:28,בנוי דאברהם יצחק וישמעאל:
13,1 Chronicles,1,29,1 Chronicles 1:29,אלין תולדתהון בוכרא דישמעאל נבט וערב ואדבאל ומבשם:
13,1 Chronicles,1,30,1 Chronicles 1:30,וציתא ושתוקא ומסוברא חריפא ואדרומא:
13,1 Chronicles,1,31,1 Chronicles 1:31,יטור נפיש וקדומא אלין הנון בנוי דישמעאל:
13,1 Chronicles,1,32,1 Chronicles 1:32,ובניא דקטורא פלקתא דאברהם זמרן יקשן מדן מדין ישבק שוח ובנוי דיקשן זמרגד ומזג:
13,1 Chronicles,1,33,1 Chronicles 1:33,ובנוי דמדין חולד ועפר וחנוך ואבידע ואלדעה כל אלין בני קטורה:
13,1 Chronicles,1,34,1 Chronicles 1:34,ואוליד אברהם ית יצחק בני יצחק עשו וישראל:
13,1 Chronicles,1,35,1 Chronicles 1:35,בנוי דעשו אליפז רעואל ויעוש ויעלם וקורח:
13,1 Chronicles,1,36,1 Chronicles 1:36,בנוי דאליפז תימן אומר צפי וגעתם וקנז ותמנע ועמלק:
13,1 Chronicles,1,37,1 Chronicles 1:37,בנוי דרעואל נחת זרח שמה ומזה:
13,1 Chronicles,1,38,1 Chronicles 1:38,ובנוי דגבל לוטאי ושובלאי וצבעון וענה ודישון ואצר ודישן:
13,1 Chronicles,1,39,1 Chronicles 1:39,ובנוי דלוטן חורי והומם ואחות לוטן תמנע:
13,1 Chronicles,1,40,1 Chronicles 1:40,בנוי דשובל עלין ומנחת ועיבל שפי ואונם ובנוי דצבעון איה וענה:
13,1 Chronicles,1,41,1 Chronicles 1:41,בנוי דענה דישון ובנוי דדישון חמרן ואשבן ויתרן וכרן:
13,1 Chronicles,1,42,1 Chronicles 1:42,בנוי דאצר בלהן וזעון יעקן בנוי דדישון ארמניוס וארן:
13,1 Chronicles,1,43,1 Chronicles 1:43,ואלין מלכיא די מלכו בארעא דאדום קדם עד דלא מלך מלכא לבני ישראל בלעם בר בעור רשיעא הוא לבן ארמאה דאתחבר עם בנוי דעשו מטול למחבלא ית יעקב וית בנוי ובעא להובדא יתהון ומלך על אדום ושום קרתא דבית מלכותיה דנהבה דאתיהיבת ליה מגן:
13,1 Chronicles,1,44,1 Chronicles 1:44,ומית בלע דקטליה פנחס במדברא ומליך תחותוי יובב בר זרח מן בוטרה:
13,1 Chronicles,1,45,1 Chronicles 1:45,ומית יובב ומליך תחותוי חושם דמן ארעא דרומא:
13,1 Chronicles,1,46,1 Chronicles 1:46,ומית חושם ומליך תחותוי הדד בר בדד דקטל ית מדינאי בחקלי מואבאי בעדן דסדרו קרבא עמהון ושום קרתא דבית מלכותיה עוית:
13,1 Chronicles,1,47,1 Chronicles 1:47,ומית הדד ומליך תחותוי שמלה דמן משרקה:
13,1 Chronicles,1,48,1 Chronicles 1:48,ומית שמלה ומליך תחותוי שאול דמן פלטיותא קרתא רבתא דמתבניא על כיף פרת:
13,1 Chronicles,1,49,1 Chronicles 1:49,ומית שאול ומליך תחותוי בעל חנן בר עכבור:
13,1 Chronicles,1,50,1 Chronicles 1:50,ומית בעל חנן ומליך תחותוי הדד ושום קרתא דבית מלכותיה פעי ושום אנתתיה מהיטבאל ברת מטרד דהות לעי במטרדותא ובסרדותא ומן דעתר וקנא נכסין הוה מתגאה והדר למימר מה הוא כספא ומה הוא דהבא:
13,1 Chronicles,1,51,1 Chronicles 1:51,ומית הדד ופסקת מנהון מלכותא ארום אתכבישת ארעא קדם בנוי דעשו והווי רברבי אדומאי שלטין בארעא דגבלא רבא תמנע רבא עלוה רבא יתת:
13,1 Chronicles,1,52,1 Chronicles 1:52,רבא אהליבמה רבא אלה רבא פינון:
13,1 Chronicles,1,53,1 Chronicles 1:53,רבא קנז רבא תימן רבא מבצר:
13,1 Chronicles,1,54,1 Chronicles 1:54,רבא מגדיאל רבא עירם אלין רברבני אדומאי:
13,1 Chronicles,2,1,1 Chronicles 2:1,אלין בני ישראל ראובן שמעון לוי ויהודה יששכר וזבלון:
13,1 Chronicles,2,2,1 Chronicles 2:2,דן יוסף ובנימין נפתלי גד ואשר:
13,1 Chronicles,2,3,1 Chronicles 2:3,בני יהודה ער ואונן ושלה תלתיהון אתילידו ליה מן בת שוע פרקמטיתא והוון ער ואונן עבדין דביש קדם יי וקטלנון על דהוון מחבלין ית ארחתהון:
13,1 Chronicles,2,4,1 Chronicles 2:4,ותמר כלתיה ילידת ליה ית פרץ וית זרח כלהון בני יהודה חמשא:
13,1 Chronicles,2,5,1 Chronicles 2:5,בנוי דפרץ חצרון וחמול:
13,1 Chronicles,2,6,1 Chronicles 2:6,ובנוי דזרח זמרי ואיתן והימן וכלכול ודרדע כלהון אמרכולין דרוח נבואה שרית עליהון והנון חמשא:
13,1 Chronicles,2,7,1 Chronicles 2:7,ובנוי דכרמי הוא זמרי עכר הוא עכן די עכר ישראל כד אפכו ונפלו קדם אנשי עי מטול דשקר בחרמא:
13,1 Chronicles,2,8,1 Chronicles 2:8,ובנוי דאיתן עזריה:
13,1 Chronicles,2,9,1 Chronicles 2:9,ובנוי דחצרון די אתילידו ליה בתמנת ית ירחמאל וית רם וית כלובי:
13,1 Chronicles,2,10,1 Chronicles 2:10,ורם אוליד ית עמינדב ועמינדב אוליד ית נחשון רב בית אבא לבני יהודה:
